tax_id,fiscal_year,period_end,currency,revenue,gross_profit,net_profit,total_assets,total_liabilities,equity,current_assets,current_liabilities,cash,inventory,receivables
0105536000020,2025,31/12/2025,THB,"420,000,000","63,000,000","18,500,000","310,000,000","185,000,000","125,000,000","190,000,000","140,000,000","22,000,000","61,000,000","95,000,000"
0105536000020,2024,31/12/2024,THB,"398,000,000","57,000,000","14,200,000","295,000,000","180,000,000","115,000,000","178,000,000","132,000,000","19,000,000","58,000,000","88,000,000"
0105558000138,2025,31/12/2025,THB,"96,000,000","8,400,000","(12,300,000)","74,000,000","82,000,000","(8,000,000)","41,000,000","58,000,000","1,900,000","6,000,000","28,000,000"
0105558000138,2024,31/12/2024,THB,"112,000,000","11,900,000","(6,700,000)","81,000,000","77,000,000","4,000,000","46,000,000","54,000,000","3,100,000","7,400,000","31,000,000"
0105558000138,2023,31/12/2023,THB,"128,000,000","15,200,000","(2,100,000)","88,000,000","76,000,000","12,000,000","52,000,000","49,000,000","5,600,000","8,800,000","33,000,000"
0107537000122,2022,31/12/2022,THB,"1,240,000,000","210,000,000","96,000,000","980,000,000","410,000,000","570,000,000","520,000,000","260,000,000","145,000,000","130,000,000","210,000,000"
0105539000012,2025,31/12/2025,THB,"180,000,000","41,000,000","26,400,000","640,000,000","210,000,000","430,000,000","150,000,000","72,000,000","38,000,000","0","61,000,000"
0105539000012,2024,31/12/2024,THB,"166,000,000","37,500,000","22,900,000","602,000,000","205,000,000","397,000,000","141,000,000","69,000,000","31,000,000","0","57,000,000"
0105547000123,2025,31/12/2025,THB,"212,000,000","19,100,000","2,300,000","148,000,000","112,000,000","36,000,000","96,000,000","88,000,000","4,200,000","39,000,000","44,000,000"
0105547000123,2024,31/12/2024,THB,"228,000,000","24,600,000","6,900,000","151,000,000","108,000,000","43,000,000","99,000,000","81,000,000","7,800,000","36,000,000","47,000,000"
0105562000112,2024,31/12/2024,THB,"58,000,000","7,300,000","1,100,000","41,000,000","29,000,000","12,000,000","26,000,000","22,000,000","2,400,000","1,900,000","18,000,000"
